MatchId,IdPeriod,Time,ball_x,ball_y
match_4,1,0,327.7683246598955,-717.0105404635783
match_4,1,10,258.32402711417586,-690.1872131576943
match_4,1,20,120.31286720412707,-634.5608694740591
match_4,1,30,-54.34348105978373,-558.3147437809082
match_4,1,40,-205.34829019661873,-483.34769477155646
match_4,1,50,-286.848523518809,-432.2568947427006
match_4,1,60,-290.62442466704346,-414.9220712794462
match_4,1,70,-227.32683422240672,-428.68439821183847
match_4,1,80,-108.66127779479535,-466.48195254304534
match_4,1,90,43.22703117413053,-519.2364026290645
match_4,1,100,192.18131196010748,-572.3451988483292
match_4,1,110,310.3968117650823,-609.371195778583
match_4,1,120,394.6771726097321,-623.1439515136384
match_4,1,130,459.2836725154859,-618.2105270648582
match_4,1,140,520.4064564467556,-601.8848597493702
match_4,1,150,584.7005143773201,-578.3250946336067
match_4,1,160,649.797999160593,-550.7689445682572
match_4,1,170,714.3096126050903,-523.9714657769913
match_4,1,180,781.9740306665583,-499.94810352102684
match_4,1,190,856.0887653124508,-473.8616821490158
match_4,1,200,934.3343384895782,-445.8912392148079
match_4,1,210,1007.8401244245332,-437.1433888434906
match_4,1,220,1064.769571020458,-474.5771049377412
match_4,1,230,1096.8157948692042,-556.4829034278714
match_4,1,240,1102.128503675987,-652.0057621636381
match_4,1,250,1084.1851691848965,-736.9096915373096
match_4,1,260,1050.4802888816662,-810.8076933539942
match_4,1,270,1010.9802801807575,-877.3771289827591
match_4,1,280,973.8810547288601,-929.5322506231875
match_4,1,290,943.1668410155914,-962.5874287589049
match_4,1,300,924.7608596013379,-986.1932968401089
match_4,1,310,930.7438970940066,-1011.7026553999133
match_4,1,320,970.4057768982898,-1031.2197305820155
match_4,1,330,1042.201380100882,-1018.3574365893608
match_4,1,340,1136.7043563134284,-956.4700267494816
match_4,1,350,1233.4368323096464,-864.7774300052655
match_4,1,360,1293.6816628832917,-785.173683607147
match_4,1,370,1277.2897807407116,-735.5773773117232
match_4,1,380,1171.7751498848281,-692.1058424182053
match_4,1,390,1005.4613230189443,-624.7925120461313
match_4,1,400,846.1501276036372,-524.9384759773372
match_4,1,410,767.7737015687337,-393.8507822215711
match_4,1,420,786.1313113418126,-237.39493498443514
match_4,1,430,842.0924187995262,-77.6833261647775
match_4,1,440,863.45382520166,54.820880024645895
match_4,1,450,824.3538199978229,146.95995194468304
match_4,1,460,744.2695552741366,208.6464985281203
match_4,1,470,657.5446623814304,255.04979347544935
match_4,1,480,591.3715678256046,292.68770746949974
match_4,1,490,561.2707762112178,324.26918773156206
match_4,1,500,577.9420917840498,364.53407225091195
match_4,1,510,640.282358642767,443.49569142206883
match_4,1,520,717.8060982686015,578.42397467366
match_4,1,530,769.5180102332058,741.7313369433405
match_4,1,540,789.2060481866649,880.0073263418592
match_4,1,550,802.4292511111636,968.694177937596
match_4,1,560,820.7532582513352,1025.7785311877528
match_4,1,570,832.5433954973267,1078.7371763420037
match_4,1,580,830.3636814173424,1141.6318338546057
match_4,1,590,820.4348974452698,1218.0715684659435
match_4,1,600,815.5330596884925,1308.123547332754
match_4,1,610,833.0670243119557,1407.715791475417
match_4,1,620,887.3437290774566,1507.466992506244
match_4,1,630,973.7956979021181,1600.9127519884387
match_4,1,640,1068.7892674814098,1693.9300539275678
match_4,1,650,1145.839746205665,1797.2377417627795
match_4,1,660,1185.8342312349573,1909.9378528604193
match_4,1,670,1180.6636746182166,2017.5254797696216
match_4,1,680,1138.4647186173577,2105.945546457944
match_4,1,690,1080.3775397182699,2173.7664597671237
match_4,1,700,1027.662860953543,2228.915063526093
match_4,1,710,993.7958872093901,2277.8230418153844
match_4,1,720,982.0505537508434,2322.571402419281
match_4,1,730,984.100475828469,2364.021176103545
match_4,1,740,984.2486399227002,2400.948785569682
